ts_art,exchange,ask,bid,edad_seg
2026-09-21 00:11:47,astropay,1636.237,1568.2584,4
2026-09-21 00:11:47,belo,1609.0,1589.0,4
2026-09-21 00:11:47,binance,1595.896,1577.47,2
2026-09-21 00:11:47,binancep2p,1597.1,1589.3,16
2026-09-21 00:11:47,bingxp2p,1596.99,1590.21,3
2026-09-21 00:11:47,bitgetp2p,1599.7,1590.1,46
2026-09-21 00:11:47,bitsoalpha,1602.8598,1581.9311,58
2026-09-21 00:11:47,buenbit,1621.9403,1582.3061,55
2026-09-21 00:11:47,bybit,1611.9605,1567.4129,17
2026-09-21 00:11:47,bybitp2p,1595.89,1591.62,37
2026-09-21 00:11:47,cocoscrypto,1606.0038,1586.0002,2
2026-09-21 00:11:47,cryptomktpro,1616.1122,1568.5416,0
2026-09-21 00:11:47,decrypto,1608.5854,1541.735,59
2026-09-21 00:11:47,eldoradop2p,1622.9093,1569.3085,61
2026-09-21 00:11:47,eluter,1621.9814,1567.6223,0
2026-09-21 00:11:47,fiwind,1600.0,1588.0,0
2026-09-21 00:11:47,kucoinp2p,1606.7,1581.15,58
2026-09-21 00:11:47,lemoncash,1619.5254,1538.757,58
2026-09-21 00:11:47,lemoncashp2p,1613.85,1563.9633,58
2026-09-21 00:11:47,letsbit,1601.9195,1566.0452,55
2026-09-21 00:11:47,mexc,1665.3711,1584.4959,55
2026-09-21 00:11:47,nexo,1603.6933,1584.5479,55
2026-09-21 00:11:47,okexp2p,1597.5,1592.0,13
2026-09-21 00:11:47,peanut,1618.38,1561.11,53
2026-09-21 00:11:47,ripio,1610.89,1565.2743,50
2026-09-21 00:11:47,ripioexchange,1600.0605,1580.7565,49
2026-09-21 00:11:47,saldo,1608.4057,1570.4541,48
2026-09-21 00:11:47,satoshitango,1598.5132,1554.2978,48
2026-09-21 00:11:47,tiendacrypto,1608.723,1570.534,48
2026-09-21 00:11:47,vitawallet,1615.1865,1568.8063,47
2026-09-21 00:11:47,wallbit,1637.7732,1564.57,47
